tweet_id,hashtags,date,img_urls,video_url,replies,reply_to_users,retweets,links,user_mentions
1269400916291194882,['auxilioemergencial'],2020-06-06T22:48:57,[],,5,[],0,[],[]
1269398877972697088,"['auxilioemergencial', 'datalixo', 'onixmentiroso']",2020-06-06T22:40:51,[],,0,[],1,[],[]
1269398619989446657,['auxilioemergencial'],2020-06-06T22:39:49,[],,1,[],1,[],"['@dataprev', '@onyxlorenzoni', '@Caixa', '@jairbolsonaro']"
1269397416756736000,['AuxilioEmergencial'],2020-06-06T22:35:03,[],,0,[],0,['http://jornalbrasilnoticias.com/2020/05/15/auxilio-emergencial-mudou-tudo-segunda-parcela/'],[]
1269397416756645888,['AuxilioEmergencial'],2020-06-06T22:35:03,[],,0,[],0,['http://jornalbrasilnoticias.com/2020/05/15/auxilio-emergencial-mudou-tudo-segunda-parcela/'],[]
1269397181443854337,"['DataLixo', 'AuxilioEmergencial']",2020-06-06T22:34:06,[],,0,[],1,[],[]
1269397023163322369,"['DataLixo', 'AuxilioEmergencial']",2020-06-06T22:33:29,[],,3,[],1,[],[]
1269396830028210177,"['AuxilioHumilhação', 'auxilioemergencial', 'APROVADATAPREV', 'análiseeterna', 'onyxmentiroso']",2020-06-06T22:32:43,[],,0,[],4,[],"['@onyxlorenzoni', '@Caixa', '@MinCidadania', '@dataprev']"
1269396160491503616,['auxilioEmergencial'],2020-06-06T22:30:03,[],,0,[],0,['http://jornalbrasilnoticias.com/2020/05/15/auxilio-emergencial-mudou-tudo-segunda-parcela/'],[]
1269396160382451716,['auxilioEmergencial'],2020-06-06T22:30:03,[],,0,[],0,['http://jornalbrasilnoticias.com/2020/05/15/auxilio-emergencial-mudou-tudo-segunda-parcela/'],[]
1269395896820776960,"['DataLixo', 'AuxilioEmergencial']",2020-06-06T22:29:00,[],,3,"[{'screen_name': 'Larissalami', 'user_id': '1112394945460092929'}]",0,[],[]
1269395689257291782,"['AuxilioHumilhação', 'auxilioemergencial', 'APROVADATAPREV', 'análiseeterna', 'onyxmentiroso']",2020-06-06T22:28:11,[],,0,[],2,[],"['@Caixa', '@MinCidadania', '@dataprev', '@onyxlorenzoni']"
1269395273765335041,"['AuxilioHumilhação', 'auxilioemergencial', 'APROVADATAPREV', 'análiseeterna', 'onyxmentiroso']",2020-06-06T22:26:32,[],,0,[],1,[],"['@Caixa', '@MinCidadania', '@dataprev', '@onyxlorenzoni']"
1269395136384991234,"['AuxilioHumilhação', 'auxilioemergencial', 'APROVADATAPREV', 'análiseeterna', 'OnyxMentiroso']",2020-06-06T22:25:59,[],,0,[],2,[],"['@Caixa', '@MinCidadania', '@dataprev', '@onyxlorenzoni']"
